stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
YORKLYL2,2162.0,York at Lyle WB - #2162,,42.986971,-81.228111,,,,,,0
YORKMAI1,2163.0,York at Maitland EB - #2163,,42.984718,-81.235931,,,,,,0
YORKMAI2,2164.0,York at Maitland WB - #2164,,42.98496,-81.23544,,,,,,0
YORKREC1,2165.0,York at Rectory EB - #2165,,42.987526,-81.222993,,,,,,0
YORKREC2,2166.0,York at Rectory WB - #2166,,42.987914,-81.22394,,,,,,0
YORKTHA1,2170.0,York at Thames EB - #2170,,42.979448,-81.255056,,,,,,0
YORKTHA2,2171.0,York at Thames WB - #2171,,42.979536,-81.255353,,,,,,0
YORKWAT1,2172.0,York at Waterloo EB - #2172,,42.983467,-81.240461,,,,,,0
YORKWAT2,2173.0,York at Waterloo WB - #2173,,42.983498,-81.240776,,,,,,0
YORKWIL1,2175.0,York at William EB - #2175,,42.985372,-81.233601,,,,,,0
YORKWIL2,2176.0,York at William WB - #2176,,42.985708,-81.232685,,,,,,0
ADELLEA7,2185.0,Adelaide north of Leathorne 3 NB - #2185,,42.965978,-81.221654,,,,,,0
BASEWHA1,2194.0,Base Line at Wharncliffe EB - #2194,,42.959332,-81.259828,,,,,,0
BERKBER1,2195.0,Berkshire at Berkshire Place NB - #2195,,42.962777,-81.288488,,,,,,0
BERKBER2,2196.0,Berkshire at Berkshire Place SB - #2196,,42.962676,-81.288377,,,,,,0
BERKGAR2,2198.0,Berkshire south of Gardenwood SB - #2198,,42.962572,-81.28437,,,,,,0
BRADADE3,2203.0,Bradley at Adelaide EB - #2203,,42.935911,-81.209743,,,,,,0
BRADWIL4,2205.0,Bradley at Willow 2 WB - #2205,,42.934989,-81.218937,,,,,,0
BRADWOPS,2206.0,White Oaks Elementary School - #2206,,42.9342,-81.232633,,,,,,0
COMMWCO1,2217.0,Commissioners at Western Counties EB - #2217,,42.958442,-81.218679,,,,,,0
DUNDMCOR,2219.0,Dundas at McCormick Blvd WB - #2219,,42.994537,-81.2121,,,,,,0
EMERRIDG,2220.0,Emery at Ridgewood WB - #2220,,42.964458,-81.275884,,,,,,0
HIGVWHA3,2236.0,89 Highview - #2236,,42.953949,-81.257261,,,,,,0
HORTCOL1,2239.0,Horton at Colborne WB - #2239,,42.981884,-81.236955,,,,,,0
HORTCOL2,2240.0,Horton at Colborne EB - #2240,,42.981597,-81.237487,,,,,,0
JALNBRA7,2242.0,Jalna south of Bradley NB - #2242,,42.933106,-81.243455,,,,,,0
JALNCONW,2243.0,Jalna at Conway NB - #2243,,42.932331,-81.24271,,,,,,0
PMILTHOP,2260.0,Pond Mills at Thompson - #2260,,42.972808,-81.21007,,,,,,0
RIDGKER2,2272.0,Ridgewood at Kernohan WB - #2272,,42.967875,-81.280991,,,,,,0
SOUTHOSP,2276.0,South St Hospital - #2276,,42.976705,-81.235546,,,,,,0
VICZONC,2284.0,Victoria Hospital & Zone A EB - #2284,,42.959493,-81.226954,,,,,,0
WESTTHO1,2292.0,Westminster at Thompson Rd NB - #2292,,42.967501,-81.224994,,,,,,0
WHARHORT,2293.0,Wharncliffe at Horton SB - #2293,,42.975906,-81.262288,,,,,,0
WHOKMANB,2295.0,Jalna at White Oaks Mall NB - #2295,,42.931158,-81.227254,,,,,,0
WHOKMASB,2296.0,Jalna at White Oaks Mall SB - #2296,,42.931102,-81.227399,,,,,,0
WONDVIS4,2305.0,Wonderland at Viscount Rd SB - #2305,,42.947805,-81.28928,,,,,,0
COMMWHAR,2312.0,COMMISSIONERS & WHARNCLIF - #2312,,42.956949,-81.260082,,,,,,0
HAMIWIL1,2317.0,Hamilton at William EB - #2317,,42.98227,-81.230895,,,,,,0
HAMIWIL2,2318.0,Hamilton at William WB - #2318,,42.98248,-81.231086,,,,,,0
WONDSAR2,2322.0,Wonderland South of Sarnia  SB - #2322,,42.994507,-81.298298,,,,,,0
WONDSPRI,2323.0,Wonderland at Springbank SB - #2323,,42.963094,-81.293081,,,,,,0
BRADADE4,2324.0,Bradley between Adelaide & Willow WB - #2324,,42.935836,-81.21345,,,,,,0
BRADAGN1,2325.0,Bradley at Willow 2 EB - #2325,,42.935125,-81.216969,,,,,,0
BRADWEL1,2326.0,Bradley west of Wellington Rd EB - #2326,,42.934247,-81.224411,,,,,,0
BRADWEL2,2327.0,Bradley at Wellington WB - #2327,,42.934508,-81.224159,,,,,,0
KINGDIP1,2333.0,King Edward at Dieppe NB - #2333,,42.967584,-81.212023,,,,,,0
KINGDIP2,2334.0,King Edward at Dieppe SB - #2334,,42.967729,-81.212464,,,,,,0
NEWBBRA1,2335.0,Newbold at Bradley NB - #2335,,42.936267,-81.201488,,,,,,0
RIVEWHA2,2336.0,Riverside east of Wharncliffe WB - #2336,,42.982985,-81.262124,,,,,,0
SOUTNOD3,2337.0,Southdale East of Notre Dame Dr EB - #2337,,42.940153,-81.264311,,,,,,0
FOREHIL1,2341.0,Proudfoot at Forest Hills EB - #2341,,42.983223,-81.284753,,,,,,0
FOREHIL2,2342.0,Proudfoot at Forest Hills WB - #2342,,42.983285,-81.28431,,,,,,0
BEAVWON1,2389.0,Beaverbrook at Wonderland EB - #2389,,42.989248,-81.29701,,,,,,0
CAPUOXFO,2390.0,Capulet Lane at Oxford SB - #2390,,42.983768,-81.296612,,,,,,0
BEAVCAP1,2415.0,Beaverbrook at Capulet WB - #2415,,42.988455,-81.299991,,,,,,0
BEAVHOR2,2417.0,Beaverbrook at Horizon EB - #2417,,42.990257,-81.293584,,,,,,0
BEAVPROU,2418.0,Beaverbrook at Proudfoot EB - #2418,,42.990798,-81.29173,,,,,,0
VICTZON7,2423.0,Victoria Hospital at Zone E WB - #2423,,42.961601,-81.224164,,,,,,0
